1,Some bogus stuff in col one,col two,access-list 105 permit tcp 3.0.0.0 0.255.255.255 eq 25 10.20.10.0 0.0.0.255,col four,col five
2,,,access-list 105 permit tcp host 3.3.3.12 host 10.10.10.22 eq 1433,,
3,,,access-list 105 permit udp host 3.3.3.12 host 10.10.10.22 eq 53,,
4,,,access-list 105 permit ahp host 3.3.3.12 host 10.10.10.22,,
5,,,access-list 105 permit esp host 3.3.3.12 host 10.10.10.22,,
6,,,access-list 105 permit tcp host 3.3.3.12 eq 1433 host 10.10.10.22,,
7,,,access-list 105 permit tcp host 3.3.3.12 eq 1433 any,,
8,,,access-list 105 permit tcp 5.5.33.0 0.0.0.255 eq 1433 host 10.10.10.22,,
9,,,access-list 105 permit tcp 5.5.33.0 0.0.0.255 eq 25 any eq 210,,
10,,,access-list 105 permit tcp any 10.40.0.0 0.0.255.255 eq 25,,
11,,,access-list 105 permit tcp host 5.5.5.15 range 21 22 10.50.0.0 0.0.255.255 range 21 22,,
12,,,access-list 105 permit tcp 5.5.6.0/24 range 21 22 10.50.0.0 0.0.255.255 range 21 22,,
13,,,!access-list 105 remark permit tcp any 10.10.0.0 0.0.255.255 eq 135 access-list 105 permit tcp any 10.10.0.0 0.0.255.255 eq 135,,
14,,,access-list 105 remark permit tcp any 10.10.0.0 0.0.255.255 eq 135 access-list 105 permit tcp any 10.10.0.0 0.0.255.255 eq 135,,
15,,,access-list 105 Remark permit tcp any 10.20.0.0 0.0.255.255 eq 135 access-list 105 permit tcp any 10.20.0.0 0.0.255.255 eq 135,,
16,,,access-list 111 permit tcp any host 128.3.78.107 eq 25,,
17,,,access-list 111 permit tcp host 57.166.108.94 host 128.3.48.103 eq 1044,,
18,,,access-list 111 permit tcp host 204.116.37.5 eq 80 host 128.3.48.186,,
19,,,access-list 111 permit tcp host 216.140.85.137 host 128.3.48.26 eq 9848,,
